Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
1929, Concatenation of Array,90.10%,FALSE,https://leetcode.com/problems/concatenation-of-array/description,https://leetcode.com/problems/concatenation-of-array/solutions,MultiConcept
1930, Unique Length-3 Palindromic Subsequences,66.10%,FALSE,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/description,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/solutions,Edge Case Intensive
1931, Painting a Grid With Three Different Colors,57.80%,FALSE,https://leetcode.com/problems/painting-a-grid-with-three-different-colors/description,https://leetcode.com/problems/painting-a-grid-with-three-different-colors/solutions,Hard
1932, Merge BSTs to Create Single BST,36.50%,FALSE,https://leetcode.com/problems/merge-bsts-to-create-single-bst/description,https://leetcode.com/problems/merge-bsts-to-create-single-bst/solutions,Hard
1933, Check if String Is Decomposable Into Value-Equal Substrings,50.90%,TRUE,https://leetcode.com/problems/check-if-string-is-decomposable-into-value-equal-substrings/description,https://leetcode.com/problems/check-if-string-is-decomposable-into-value-equal-substrings/solutions,Easy
1933, Check if String Is Decomposable Into Value-Equal Substrings,50.90%,TRUE,https://leetcode.com/problems/check-if-string-is-decomposable-into-value-equal-substrings/description,https://leetcode.com/problems/check-if-string-is-decomposable-into-value-equal-substrings/solutions,MultiConcept
1934, Confirmation Rate,59.60%,FALSE,https://leetcode.com/problems/confirmation-rate/description,https://leetcode.com/problems/confirmation-rate/solutions,Edge Case Intensive
1935, Maximum Number of Words You Can Type,73.70%,FALSE,https://leetcode.com/problems/maximum-number-of-words-you-can-type/description,https://leetcode.com/problems/maximum-number-of-words-you-can-type/solutions,Easy
1936, Add Minimum Number of Rungs,43.00%,FALSE,https://leetcode.com/problems/add-minimum-number-of-rungs/description,https://leetcode.com/problems/add-minimum-number-of-rungs/solutions,Edge Case Intensive
1937, Maximum Number of Points with Cost,42.90%,FALSE,https://leetcode.com/problems/maximum-number-of-points-with-cost/description,https://leetcode.com/problems/maximum-number-of-points-with-cost/solutions,Edge Case Intensive
1938, Maximum Genetic Difference Query,42.80%,FALSE,https://leetcode.com/problems/maximum-genetic-difference-query/description,https://leetcode.com/problems/maximum-genetic-difference-query/solutions,Hard
1939, Users That Actively Request Confirmation Messages,56.40%,TRUE,https://leetcode.com/problems/users-that-actively-request-confirmation-messages/description,https://leetcode.com/problems/users-that-actively-request-confirmation-messages/solutions,Easy
1940, Longest Common Subsequence Between Sorted Arrays,81.30%,TRUE,https://leetcode.com/problems/longest-common-subsequence-between-sorted-arrays/description,https://leetcode.com/problems/longest-common-subsequence-between-sorted-arrays/solutions,Edge Case Intensive
1940, Longest Common Subsequence Between Sorted Arrays,81.30%,TRUE,https://leetcode.com/problems/longest-common-subsequence-between-sorted-arrays/description,https://leetcode.com/problems/longest-common-subsequence-between-sorted-arrays/solutions,MultiConcept
1941, Check if All Characters Have Equal Number of Occurrences,78.00%,FALSE,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences/description,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences/solutions,Easy
1942, The Number of the Smallest Unoccupied Chair,42.60%,FALSE,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/description,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/solutions,Edge Case Intensive
1943, Describe the Painting,50.30%,FALSE,https://leetcode.com/problems/describe-the-painting/description,https://leetcode.com/problems/describe-the-painting/solutions,Edge Case Intensive
1944, Number of Visible People in a Queue,70.00%,FALSE,https://leetcode.com/problems/number-of-visible-people-in-a-queue/description,https://leetcode.com/problems/number-of-visible-people-in-a-queue/solutions,Hard
1945, Sum of Digits of String After Convert,74.90%,FALSE,https://leetcode.com/problems/sum-of-digits-of-string-after-convert/description,https://leetcode.com/problems/sum-of-digits-of-string-after-convert/solutions,Easy
1946, Largest Number After Mutating Substring,36.30%,FALSE,https://leetcode.com/problems/largest-number-after-mutating-substring/description,https://leetcode.com/problems/largest-number-after-mutating-substring/solutions,Tricky
1946, Largest Number After Mutating Substring,36.30%,FALSE,https://leetcode.com/problems/largest-number-after-mutating-substring/description,https://leetcode.com/problems/largest-number-after-mutating-substring/solutions,MultiConcept
1947, Maximum Compatibility Score Sum,62.60%,FALSE,https://leetcode.com/problems/maximum-compatibility-score-sum/description,https://leetcode.com/problems/maximum-compatibility-score-sum/solutions,Edge Case Intensive
1948, Delete Duplicate Folders in System,54.80%,FALSE,https://leetcode.com/problems/delete-duplicate-folders-in-system/description,https://leetcode.com/problems/delete-duplicate-folders-in-system/solutions,Hard
1949, Strong Friendship,54.50%,TRUE,https://leetcode.com/problems/strong-friendship/description,https://leetcode.com/problems/strong-friendship/solutions,Edge Case Intensive
1950, Maximum of Minimum Values in All Subarrays,49.80%,TRUE,https://leetcode.com/problems/maximum-of-minimum-values-in-all-subarrays/description,https://leetcode.com/problems/maximum-of-minimum-values-in-all-subarrays/solutions,Edge Case Intensive
1951, All the Pairs With the Maximum Number of Common Followers,68.90%,TRUE,https://leetcode.com/problems/all-the-pairs-with-the-maximum-number-of-common-followers/description,https://leetcode.com/problems/all-the-pairs-with-the-maximum-number-of-common-followers/solutions,Edge Case Intensive
1952, Three Divisors,61.30%,FALSE,https://leetcode.com/problems/three-divisors/description,https://leetcode.com/problems/three-divisors/solutions,Easy
1953, Maximum Number of Weeks for Which You Can Work,41.00%,FALSE,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work/description,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work/solutions,Edge Case Intensive
1954, Minimum Garden Perimeter to Collect Enough Apples,54.70%,FALSE,https://leetcode.com/problems/minimum-garden-perimeter-to-collect-enough-apples/description,https://leetcode.com/problems/minimum-garden-perimeter-to-collect-enough-apples/solutions,Edge Case Intensive
1955, Count Number of Special Subsequences,51.40%,FALSE,https://leetcode.com/problems/count-number-of-special-subsequences/description,https://leetcode.com/problems/count-number-of-special-subsequences/solutions,Hard
1956, Minimum Time For K Virus Variants to Spread,47.60%,TRUE,https://leetcode.com/problems/minimum-time-for-k-virus-variants-to-spread/description,https://leetcode.com/problems/minimum-time-for-k-virus-variants-to-spread/solutions,Hard
1957, Delete Characters to Make Fancy String,58.70%,FALSE,https://leetcode.com/problems/delete-characters-to-make-fancy-string/description,https://leetcode.com/problems/delete-characters-to-make-fancy-string/solutions,Easy
1958, Check if Move is Legal,49.00%,FALSE,https://leetcode.com/problems/check-if-move-is-legal/description,https://leetcode.com/problems/check-if-move-is-legal/solutions,Edge Case Intensive
1959, Minimum Total Space Wasted With K Resizing Operations,43.20%,FALSE,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations/description,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations/solutions,Edge Case Intensive
1960, Maximum Product of the Length of Two Palindromic Substrings,30.80%,FALSE,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings/description,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings/solutions,Hard
1960, Maximum Product of the Length of Two Palindromic Substrings,30.80%,FALSE,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings/description,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings/solutions,MultiConcept
1961, Check If String Is a Prefix of Array,52.90%,FALSE,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/description,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/solutions,Easy
1961, Check If String Is a Prefix of Array,52.90%,FALSE,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/description,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/solutions,MultiConcept
1962, Remove Stones to Minimize the Total,62.80%,FALSE,https://leetcode.com/problems/remove-stones-to-minimize-the-total/description,https://leetcode.com/problems/remove-stones-to-minimize-the-total/solutions,Edge Case Intensive
1963, Minimum Number of Swaps to Make the String Balanced,72.10%,FALSE,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/description,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/solutions,Edge Case Intensive
1964, Find the Longest Valid Obstacle Course at Each Position,62.80%,FALSE,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position/description,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position/solutions,Hard
1965, Employees With Missing Information,72.50%,FALSE,https://leetcode.com/problems/employees-with-missing-information/description,https://leetcode.com/problems/employees-with-missing-information/solutions,Easy
1966, Binary Searchable Numbers in an Unsorted Array,64.10%,TRUE,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array/description,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array/solutions,Edge Case Intensive
1966, Binary Searchable Numbers in an Unsorted Array,64.10%,TRUE,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array/description,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array/solutions,MultiConcept
1967, Number of Strings That Appear as Substrings in Word,81.20%,TRUE,https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/description,https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/solutions,Easy
1967, Number of Strings That Appear as Substrings in Word,81.20%,TRUE,https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/description,https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/solutions,MultiConcept
1968, Array With Elements Not Equal to Average of Neighbors,50.40%,FALSE,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/description,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/solutions,Edge Case Intensive
1968, Array With Elements Not Equal to Average of Neighbors,50.40%,FALSE,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/description,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/solutions,MultiConcept
1969, Minimum Non-Zero Product of the Array Elements,35.80%,FALSE,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements/description,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements/solutions,Tricky
1969, Minimum Non-Zero Product of the Array Elements,35.80%,FALSE,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements/description,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements/solutions,MultiConcept
1970, Last Day Where You Can Still Cross,61.90%,FALSE,https://leetcode.com/problems/last-day-where-you-can-still-cross/description,https://leetcode.com/problems/last-day-where-you-can-still-cross/solutions,Hard
1971, Find if Path Exists in Graph,53.90%,FALSE,https://leetcode.com/problems/find-if-path-exists-in-graph/description,https://leetcode.com/problems/find-if-path-exists-in-graph/solutions,Easy
1972, First and Last Call On the Same Day,50.50%,TRUE,https://leetcode.com/problems/first-and-last-call-on-the-same-day/description,https://leetcode.com/problems/first-and-last-call-on-the-same-day/solutions,Hard
1973, Count Nodes Equal to Sum of Descendants,77.10%,TRUE,https://leetcode.com/problems/count-nodes-equal-to-sum-of-descendants/description,https://leetcode.com/problems/count-nodes-equal-to-sum-of-descendants/solutions,Edge Case Intensive
1974, Minimum Time to Type Word Using Special Typewriter,75.70%,FALSE,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/description,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/solutions,Easy
1975, Maximum Matrix Sum,50.00%,FALSE,https://leetcode.com/problems/maximum-matrix-sum/description,https://leetcode.com/problems/maximum-matrix-sum/solutions,Edge Case Intensive
1976, Number of Ways to Arrive at Destination,27.70%,FALSE,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/description,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/solutions,Tricky
1976, Number of Ways to Arrive at Destination,27.70%,FALSE,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/description,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/solutions,Optimization Required
1977, Number of Ways to Separate Numbers,21.00%,FALSE,https://leetcode.com/problems/number-of-ways-to-separate-numbers/description,https://leetcode.com/problems/number-of-ways-to-separate-numbers/solutions,Hard
1977, Number of Ways to Separate Numbers,21.00%,FALSE,https://leetcode.com/problems/number-of-ways-to-separate-numbers/description,https://leetcode.com/problems/number-of-ways-to-separate-numbers/solutions,Optimization Required
1978, Employees Whose Manager Left the Company,48.60%,FALSE,https://leetcode.com/problems/employees-whose-manager-left-the-company/description,https://leetcode.com/problems/employees-whose-manager-left-the-company/solutions,Easy
1979, Find Greatest Common Divisor of Array,78.20%,FALSE,https://leetcode.com/problems/find-greatest-common-divisor-of-array/description,https://leetcode.com/problems/find-greatest-common-divisor-of-array/solutions,Easy
1979, Find Greatest Common Divisor of Array,78.20%,FALSE,https://leetcode.com/problems/find-greatest-common-divisor-of-array/description,https://leetcode.com/problems/find-greatest-common-divisor-of-array/solutions,MultiConcept
1980, Find Unique Binary String,74.70%,FALSE,https://leetcode.com/problems/find-unique-binary-string/description,https://leetcode.com/problems/find-unique-binary-string/solutions,Edge Case Intensive
1981, Minimize the Difference Between Target and Chosen Elements,35.30%,FALSE,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements/description,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements/solutions,Tricky
1982, Find Array Given Subset Sums,48.90%,FALSE,https://leetcode.com/problems/find-array-given-subset-sums/description,https://leetcode.com/problems/find-array-given-subset-sums/solutions,Hard
1982, Find Array Given Subset Sums,48.90%,FALSE,https://leetcode.com/problems/find-array-given-subset-sums/description,https://leetcode.com/problems/find-array-given-subset-sums/solutions,MultiConcept
1983, Widest Pair of Indices With Equal Range Sum,53.80%,TRUE,https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum/description,https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum/solutions,Edge Case Intensive
1984, Minimum Difference Between Highest and Lowest of K Scores,57.40%,FALSE,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/description,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/solutions,Easy
1985, Find the Kth Largest Integer in the Array,45.90%,FALSE,https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/description,https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/solutions,Edge Case Intensive
1985, Find the Kth Largest Integer in the Array,45.90%,FALSE,https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/description,https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/solutions,MultiConcept
1986, Minimum Number of Work Sessions to Finish the Tasks,33.40%,FALSE,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks/description,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks/solutions,Tricky
1987, Number of Unique Good Subsequences,52.20%,FALSE,https://leetcode.com/problems/number-of-unique-good-subsequences/description,https://leetcode.com/problems/number-of-unique-good-subsequences/solutions,Hard
1988, Find Cutoff Score for Each School,66.90%,TRUE,https://leetcode.com/problems/find-cutoff-score-for-each-school/description,https://leetcode.com/problems/find-cutoff-score-for-each-school/solutions,Edge Case Intensive
1989, Maximum Number of People That Can Be Caught in Tag,51.50%,TRUE,https://leetcode.com/problems/maximum-number-of-people-that-can-be-caught-in-tag/description,https://leetcode.com/problems/maximum-number-of-people-that-can-be-caught-in-tag/solutions,Edge Case Intensive
1990, Count the Number of Experiments,49.30%,TRUE,https://leetcode.com/problems/count-the-number-of-experiments/description,https://leetcode.com/problems/count-the-number-of-experiments/solutions,Edge Case Intensive
1991, Find the Middle Index in Array,67.60%,FALSE,https://leetcode.com/problems/find-the-middle-index-in-array/description,https://leetcode.com/problems/find-the-middle-index-in-array/solutions,Easy
1991, Find the Middle Index in Array,67.60%,FALSE,https://leetcode.com/problems/find-the-middle-index-in-array/description,https://leetcode.com/problems/find-the-middle-index-in-array/solutions,MultiConcept
1992, Find All Groups of Farmland,75.80%,FALSE,https://leetcode.com/problems/find-all-groups-of-farmland/description,https://leetcode.com/problems/find-all-groups-of-farmland/solutions,Edge Case Intensive
1993, Operations on Tree,46.30%,FALSE,https://leetcode.com/problems/operations-on-tree/description,https://leetcode.com/problems/operations-on-tree/solutions,Edge Case Intensive
1994, The Number of Good Subsets,35.10%,FALSE,https://leetcode.com/problems/the-number-of-good-subsets/description,https://leetcode.com/problems/the-number-of-good-subsets/solutions,Hard
1995, Count Special Quadruplets,61.90%,FALSE,https://leetcode.com/problems/count-special-quadruplets/description,https://leetcode.com/problems/count-special-quadruplets/solutions,Easy
1996, The Number of Weak Characters in the Game,44.10%,FALSE,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/description,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/solutions,Edge Case Intensive
1997, First Day Where You Have Been in All the Rooms,37.70%,FALSE,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms/description,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms/solutions,Tricky
1998, GCD Sort of an Array,46.10%,FALSE,https://leetcode.com/problems/gcd-sort-of-an-array/description,https://leetcode.com/problems/gcd-sort-of-an-array/solutions,Hard
1998, GCD Sort of an Array,46.10%,FALSE,https://leetcode.com/problems/gcd-sort-of-an-array/description,https://leetcode.com/problems/gcd-sort-of-an-array/solutions,MultiConcept
1999, Smallest Greater Multiple Made of Two Digits,48.70%,TRUE,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits/description,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits/solutions,Edge Case Intensive
2000, Reverse Prefix of Word,86.30%,FALSE,https://leetcode.com/problems/reverse-prefix-of-word/description,https://leetcode.com/problems/reverse-prefix-of-word/solutions,Easy
2001, Number of Pairs of Interchangeable Rectangles,50.30%,FALSE,https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles/description,https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles/solutions,Edge Case Intensive
2002, Maximum Product of the Length of Two Palindromic Subsequences,60.50%,FALSE,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-subsequences/description,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-subsequences/solutions,Edge Case Intensive
2003, Smallest Missing Genetic Value in Each Subtree,46.90%,FALSE,https://leetcode.com/problems/smallest-missing-genetic-value-in-each-subtree/description,https://leetcode.com/problems/smallest-missing-genetic-value-in-each-subtree/solutions,Hard
2004, The Number of Seniors and Juniors to Join the Company,43.70%,TRUE,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company/description,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company/solutions,Hard
2005, Subtree Removal Game with Fibonacci Tree,58.50%,TRUE,https://leetcode.com/problems/subtree-removal-game-with-fibonacci-tree/description,https://leetcode.com/problems/subtree-removal-game-with-fibonacci-tree/solutions,Hard
2006, Count Number of Pairs With Absolute Difference K,84.20%,FALSE,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/description,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/solutions,Easy
2007, Find Original Array From Doubled Array,40.50%,FALSE,https://leetcode.com/problems/find-original-array-from-doubled-array/description,https://leetcode.com/problems/find-original-array-from-doubled-array/solutions,Edge Case Intensive
2007, Find Original Array From Doubled Array,40.50%,FALSE,https://leetcode.com/problems/find-original-array-from-doubled-array/description,https://leetcode.com/problems/find-original-array-from-doubled-array/solutions,MultiConcept
2008, Maximum Earnings From Taxi,44.40%,FALSE,https://leetcode.com/problems/maximum-earnings-from-taxi/description,https://leetcode.com/problems/maximum-earnings-from-taxi/solutions,Edge Case Intensive
2009, Minimum Number of Operations to Make Array Continuous,52.60%,FALSE,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/description,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/solutions,Hard
2009, Minimum Number of Operations to Make Array Continuous,52.60%,FALSE,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/description,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/solutions,MultiConcept
2010, The Number of Seniors and Juniors to Join the Company II,62.50%,TRUE,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company-ii/description,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company-ii/solutions,Hard
2011, Final Value of Variable After Performing Operations,89.40%,FALSE,https://leetcode.com/problems/final-value-of-variable-after-performing-operations/description,https://leetcode.com/problems/final-value-of-variable-after-performing-operations/solutions,Easy
2012, Sum of Beauty in the Array,48.60%,FALSE,https://leetcode.com/problems/sum-of-beauty-in-the-array/description,https://leetcode.com/problems/sum-of-beauty-in-the-array/solutions,Edge Case Intensive
2012, Sum of Beauty in the Array,48.60%,FALSE,https://leetcode.com/problems/sum-of-beauty-in-the-array/description,https://leetcode.com/problems/sum-of-beauty-in-the-array/solutions,MultiConcept
2013, Detect Squares,51.30%,FALSE,https://leetcode.com/problems/detect-squares/description,https://leetcode.com/problems/detect-squares/solutions,Edge Case Intensive
2014, Longest Subsequence Repeated k Times,55.80%,FALSE,https://leetcode.com/problems/longest-subsequence-repeated-k-times/description,https://leetcode.com/problems/longest-subsequence-repeated-k-times/solutions,Hard
2015, Average Height of Buildings in Each Segment,59.50%,TRUE,https://leetcode.com/problems/average-height-of-buildings-in-each-segment/description,https://leetcode.com/problems/average-height-of-buildings-in-each-segment/solutions,Edge Case Intensive
2016, Maximum Difference Between Increasing Elements,57.10%,FALSE,https://leetcode.com/problems/maximum-difference-between-increasing-elements/description,https://leetcode.com/problems/maximum-difference-between-increasing-elements/solutions,Easy
2025, Maximum Number of Ways to Partition an Array,34.50%,FALSE,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/description,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/solutions,Hard
2025, Maximum Number of Ways to Partition an Array,34.50%,FALSE,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/description,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/solutions,MultiConcept
2026, Low-Quality Problems,84.30%,TRUE,https://leetcode.com/problems/low-quality-problems/description,https://leetcode.com/problems/low-quality-problems/solutions,Easy
2027, Minimum Moves to Convert String,55.50%,FALSE,https://leetcode.com/problems/minimum-moves-to-convert-string/description,https://leetcode.com/problems/minimum-moves-to-convert-string/solutions,Easy
2028, Find Missing Observations,57.50%,FALSE,https://leetcode.com/problems/find-missing-observations/description,https://leetcode.com/problems/find-missing-observations/solutions,Edge Case Intensive
2029, Stone Game IX,28.70%,FALSE,https://leetcode.com/problems/stone-game-ix/description,https://leetcode.com/problems/stone-game-ix/solutions,Tricky
2029, Stone Game IX,28.70%,FALSE,https://leetcode.com/problems/stone-game-ix/description,https://leetcode.com/problems/stone-game-ix/solutions,Optimization Required
2030, Smallest K-Length Subsequence With Occurrences of a Letter,39.50%,FALSE,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/description,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/solutions,Hard
2031, Count Subarrays With More Ones Than Zeros,52.10%,TRUE,https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros/description,https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros/solutions,Edge Case Intensive
2032, Two Out of Three,75.70%,FALSE,https://leetcode.com/problems/two-out-of-three/description,https://leetcode.com/problems/two-out-of-three/solutions,Easy
2033, Minimum Operations to Make a Uni-Value Grid,53.60%,FALSE,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/description,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/solutions,Edge Case Intensive
2034, Stock Price Fluctuation,48.60%,FALSE,https://leetcode.com/problems/stock-price-fluctuation/description,https://leetcode.com/problems/stock-price-fluctuation/solutions,Edge Case Intensive
2035, Partition Array Into Two Arrays to Minimize Sum Difference,20.70%,FALSE,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/description,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/solutions,Hard
2035, Partition Array Into Two Arrays to Minimize Sum Difference,20.70%,FALSE,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/description,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/solutions,Optimization Required
2036, Maximum Alternating Subarray Sum,40.40%,TRUE,https://leetcode.com/problems/maximum-alternating-subarray-sum/description,https://leetcode.com/problems/maximum-alternating-subarray-sum/solutions,Edge Case Intensive
2037, Minimum Number of Moves to Seat Everyone,87.60%,FALSE,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/description,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/solutions,Easy
2038, Remove Colored Pieces if Both Neighbors are the Same Color,62.80%,FALSE,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/description,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/solutions,Edge Case Intensive
2039, The Time When the Network Becomes Idle,52.70%,FALSE,https://leetcode.com/problems/the-time-when-the-network-becomes-idle/description,https://leetcode.com/problems/the-time-when-the-network-becomes-idle/solutions,Edge Case Intensive
2040, Kth Smallest Product of Two Sorted Arrays,29.20%,FALSE,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/description,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/solutions,Hard
2040, Kth Smallest Product of Two Sorted Arrays,29.20%,FALSE,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/description,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/solutions,Optimization Required
2041, Accepted Candidates From the Interviews,78.30%,TRUE,https://leetcode.com/problems/accepted-candidates-from-the-interviews/description,https://leetcode.com/problems/accepted-candidates-from-the-interviews/solutions,Edge Case Intensive
2042, Check if Numbers Are Ascending in a Sentence,70.20%,FALSE,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/description,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/solutions,Easy
2043, Simple Bank System,63.80%,FALSE,https://leetcode.com/problems/simple-bank-system/description,https://leetcode.com/problems/simple-bank-system/solutions,Edge Case Intensive
2044, Count Number of Maximum Bitwise-OR Subsets,78.20%,FALSE,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/description,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/solutions,Edge Case Intensive
2045, Second Minimum Time to Reach Destination,63.10%,FALSE,https://leetcode.com/problems/second-minimum-time-to-reach-destination/description,https://leetcode.com/problems/second-minimum-time-to-reach-destination/solutions,Hard
2046, Sort Linked List Already Sorted Using Absolute Values,67.10%,TRUE,https://leetcode.com/problems/sort-linked-list-already-sorted-using-absolute-values/description,https://leetcode.com/problems/sort-linked-list-already-sorted-using-absolute-values/solutions,Edge Case Intensive
2047, Number of Valid Words in a Sentence,29.40%,FALSE,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/description,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/solutions,Easy
2047, Number of Valid Words in a Sentence,29.40%,FALSE,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/description,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/solutions,Optimization Required
2048, Next Greater Numerically Balanced Number,48.80%,FALSE,https://leetcode.com/problems/next-greater-numerically-balanced-number/description,https://leetcode.com/problems/next-greater-numerically-balanced-number/solutions,Edge Case Intensive
2049, Count Nodes With the Highest Score,50.10%,FALSE,https://leetcode.com/problems/count-nodes-with-the-highest-score/description,https://leetcode.com/problems/count-nodes-with-the-highest-score/solutions,Edge Case Intensive
2050, Parallel Courses III,67.10%,FALSE,https://leetcode.com/problems/parallel-courses-iii/description,https://leetcode.com/problems/parallel-courses-iii/solutions,Hard
2051, The Category of Each Member in the Store,70.10%,TRUE,https://leetcode.com/problems/the-category-of-each-member-in-the-store/description,https://leetcode.com/problems/the-category-of-each-member-in-the-store/solutions,Edge Case Intensive
